pDFA type,call type,mean difference,lower bound,upper bound,overlap zero,sample size
combined,contact,0.36, 0.27,0.45,0.00,16
combined,tonal-growly,0.10, 0.04,0.15,0.00,19
combined,growly-tonal,0.16, 0.05,0.26,0.00,12
combined,all,0.13, 0.09,0.17,0.00,52
subset,contact,0.20, 0.04,0.37,0.01,9
subset,tonal-growly,0.14, 0.03,0.27,0.02,11
subset,growly-tonal,0.02,-0.20,0.20,0.30,5
subset,all,0.17, 0.06,0.27,0.00,17
permuted,contact,0.25, 0.12,0.39,0.00,16
permuted,tonal-growly,0.06,-0.02,0.13,0.13,20
permuted,growly-tonal,0.16,-0.03,0.31,0.07,8
permuted,all,0.10, 0.04,0.15,0.00,40
